GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371246003,5.42,14,6.58,13,1.1600000000000001
060371247001,5.2,4,4.76,4,0.4400000000000004
060371247002,0.93,3,1.63,3,0.6999999999999998
060371247003,18.06,59,10.79,27,7.27
060371247004,2.48,6,3.38,4,0.8999999999999999
060371249021,7.8,11,4.62,6,3.1799999999999997
060371249022,7.63,7,9.15,8,1.5200000000000005
060371249031,3.76,4,3.67,4,0.08999999999999986
060371249032,15.13,16,13.18,16,1.950000000000001
060371251011,3.75,12,3.66,11,0.08999999999999986
060371251012,7.98,19,16.78,29,8.8
060371251013,0.0,0,0.0,0,0.0
060371251021,7.04,23,4.0,12,3.04
060371251022,0.37,1,0.58,2,0.20999999999999996
060371252001,7.67,29,9.63,34,1.9600000000000009
060371252002,0.37,4,0.8,7,0.43000000000000005
060371252003,0.77,3,1.06,4,0.29000000000000004
060371253101,13.68,23,3.63,12,10.05
060371253102,13.46,109,11.05,103,2.41
060371253103,6.19,6,10.96,14,4.7700000000000005
060371253104,37.48,23,38.82,27,1.3400000000000034
060371253105,11.69,6,20.2,12,8.51
060371253211,18.64,24,4.77,10,13.870000000000001
060371253212,15.93,18,4.98,10,10.95
060371253221,4.87,7,20.83,21,15.959999999999997
060371253222,14.86,32,25.64,47,10.780000000000001
060371254021,13.37,25,6.58,11,6.789999999999999
060371254022,6.04,25,6.65,18,0.6100000000000003
060371254023,4.71,24,6.03,11,1.3200000000000003
060371254031,100.0,92,8.21,8,91.78999999999999
060371254032,8.74,2,20.31,5,11.569999999999999
060371254041,14.84,61,20.29,73,5.449999999999999
060371255011,20.88,35,18.56,30,2.3200000000000003
060371255012,4.69,18,4.05,17,0.6400000000000006
060371255021,4.33,5,3.38,2,0.9500000000000002
060371255022,10.97,14,7.08,11,3.8900000000000006
060371255023,5.42,7,11.02,10,5.6
060371256001,3.11,11,2.64,9,0.46999999999999975
060371256002,0.42,2,0.29,1,0.13
060371256003,0.29,1,0.0,0,0.29
060371271021,5.1,12,4.39,10,0.71
060371271022,26.97,12,33.44,15,6.469999999999999
060371271023,0.3,1,0.0,0,0.3
060371271031,100.0,100,7.94,12,92.06
060371271041,3.82,5,4.52,4,0.6999999999999997
060371271042,1.88,5,1.68,3,0.19999999999999996
060371272101,13.01,25,8.4,14,4.609999999999999
060371272102,22.66,57,15.54,28,7.120000000000001
060371272103,2.19,11,2.58,16,0.3900000000000001
060371272201,2.89,3,4.53,3,1.6400000000000001
060371272202,17.48,11,23.95,15,6.469999999999999
060371272203,100.0,93,0.49,1,99.51
060371273001,5.18,21,5.0,21,0.17999999999999972
060371273002,9.28,9,8.89,8,0.3899999999999988
060371274001,37.18,34,4.2,19,32.98
060371274002,3.86,20,1.82,7,2.04
060371274003,3.77,22,5.25,34,1.48
060371274004,6.74,5,5.43,8,1.3100000000000005
060371275201,14.88,3,21.56,5,6.679999999999998
060371275202,16.53,14,19.55,12,3.0199999999999996
060371276031,6.16,9,4.1,6,2.0600000000000005
060371276032,1.78,2,1.32,1,0.45999999999999996
060371276041,9.16,6,10.04,5,0.879999999999999
060371276042,2.88,4,7.2,8,4.32
060371276051,3.16,6,3.42,7,0.2599999999999998
060371276052,8.16,5,5.1,3,3.0600000000000005
